/* DATA DESCRIPTION:
Citation:	Hepworth, Ehlke; Vichi, Marcello; Engelbrecht, Martinique; Kaplan, Kelsey; Sandru, Andrei; Bossau, Jesslyn; Pranlall, Sejal; de Jager, Wayne; Rogerson, Jonathan James (2020): Sea Ice Observations in the Antarctic Marginal Ice Zone during Spring 2019. PANGAEA, https://doi.org/10.1594/PANGAEA.921755
Abstract:	Using the Antarctic Sea Ice Processes and Climate (ASPeCt) protocol, Antarctic sea ice observations were conducted aboard the the SA Agulhas II in November and October 2019. These sea ice observations took place during the Southern oCean seAsonaL Experiment (SCALE) research expedition, lead by chief scientist Dr Thomas Ryan-Keogh. This SCALE expedition started on 12 October 2019 and ended on 27 November 2019.
Coverage:	MEDIAN LATITUDE: -58.391553 * MEDIAN LONGITUDE: 8.775514 * SOUTH-BOUND LATITUDE: -59.731944 * WEST-BOUND LONGITUDE: -0.251111 * NORTH-BOUND LATITUDE: -54.775278 * EAST-BOUND LONGITUDE: 24.178056
	DATE/TIME START: 2019-10-22T08:00:00 * DATE/TIME END: 2019-11-08T23:00:00
Event(s):	AGULII201910-track * LATITUDE START: -55.933611 * LONGITUDE START: 0.038333 * LATITUDE END: -56.018889 * LONGITUDE END: -0.122222 * DATE/TIME START: 2019-10-22T08:00:00 * DATE/TIME END: 2019-11-08T23:00:00 * CAMPAIGN: AGULII201910 (SCALE) * BASIS: S. A. Agulhas II (URI: https://en.wikipedia.org/wiki/S._A._Agulhas_II) * METHOD/DEVICE: Underway cruise track measurements (CT)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za)
	LATITUDE (Latitude) * GEOCODE * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za)
	LONGITUDE (Longitude) * GEOCODE * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za)
	Ice concentration [tenths] (Ice conc) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: total
	Ice concentration [tenths] (Ice conc) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: primary sea ice
	Ice type [code] (Ice type) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: primary sea ice
	Sea ice thickness [m] (EsEs) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: primary sea ice
	Floe size [code] (Floe size) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: primary sea ice
	Snow thickness [m] (Snow thick) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: primary sea ice
	Ice concentration [tenths] (Ice conc) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: secondary sea ice
	Ice type [code] (Ice type) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: secondary sea ice
	Floe size [code] (Floe size) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: secondary sea ice
	Ice concentration [tenths] (Ice conc) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: tertiary sea ice
	Ice type [code] (Ice type) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013) * COMMENT: tertiary sea ice
	Comment (Comment) * PI: Hepworth, Ehlke (djnehl001@myuct.ac.za) * METHOD/DEVICE: Sea ice observation according to ASPeCt protocol (URI: hdl:10013/epic.40380.d013)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	1300 data points
*/
Date/Time	Latitude	Longitude	Ice conc [tenths] (total)	Ice conc [tenths] (primary sea ice)	Ice type [code] (primary sea ice)	EsEs [m] (primary sea ice)	Floe size [code] (primary sea ice)	Snow thick [m] (primary sea ice)	Ice conc [tenths] (secondary sea ice)	Ice type [code] (secondary sea ice)	Floe size [code] (secondary sea ice)	Ice conc [tenths] (tertiary sea ice)	Ice type [code] (tertiary sea ice)	Comment
2019-10-22T08:00	-55.93361	0.038333	0											first sighting 08:26. streaks/band of brash ice less than 10 percent
2019-10-22T09:00	-56.13306	0.100278	0											streaks of brash ice. open water
2019-10-22T10:00	-56.18083	0.254722	0											some brash ice. but less than 10%. In polynya
2019-10-22T11:00	-56.01083	0.327778	1	1	90									
2019-10-22T12:00	-56.09139	0.260833	1	1	10									
2019-10-22T13:00	-56.31139	0.233611	0											
2019-10-22T14:00	-56.36583	0.162500	3	2	30	0.20	100		1	90	300			
2019-10-22T15:00	-56.26667	0.324444	4	3	30	0.20	100		1	90	300			
2019-10-22T16:00	-56.23583	0.264167	0											
2019-10-22T17:00	-56.30694	0.253056	0											
2019-10-22T18:00	-56.51028	0.174444	0											
2019-10-22T19:00	-56.78000	0.040833	10	9	30	0.30	100	0.20	1	90	300			
2019-10-22T20:00	-56.85111	0.029167	7	6	30	0.20	100	0.40	1	10				
2019-10-22T21:00	-57.10694	0.146944	10	9	30	0.40	100	0.20	1	90	300			
2019-10-22T22:00	-57.14889	0.080000	10	9	30	0.30	100	0.20	1	10				
2019-10-22T23:00	-57.28028	0.208889	10	9	30	0.30	100	0.20	1	10				
2019-10-23T00:00	-57.30250	0.048056	10	9	30	0.40	100	0.10	1	10				
2019-10-23T01:00	-57.43556	0.068611	10	9	30	0.40	100	0.10	1	10				
2019-10-23T02:00	-57.76500	0.133889	10	9	90	0.20	100	0.10	1	10				
2019-10-23T03:00	-57.83250	0.235833	9	8	60	0.50	400	0.20	1	90	300			very consolodated ice. pancakes have merged. too large to determine floe size. polynya
2019-10-23T04:00	-57.93972	0.177778	9	8	60	0.40	400	0.20	1	90	300			Floes not turning. hard to judge thickness
2019-10-23T05:00	-58.06556	0.141111	9	8	60	0.50	400	0.30	1	90	300			Passing through semi-consolidated ice
2019-10-23T06:00	-58.19222	0.083889	9	8	60	0.50	500	0.20	1	90	300			
2019-10-23T07:00	-58.07083	0.132500	10	10	60	0.50	500	0.20						
2019-10-23T08:00	-58.02806	0.147778												Ship is stationary . therefore no observations until 13h20.
2019-10-23T09:00	-57.97417	0.180278												
2019-10-23T10:00	-58.17472	0.204444												
2019-10-23T11:00	-58.10417	0.217778												
2019-10-23T12:00	-58.02889	0.232778												
2019-10-23T13:00	-57.97833	0.196667												
2019-10-23T14:00	-58.13667	0.114444	10	10	60	1.00	600							
2019-10-23T15:00	-58.17861	0.121667	10	10	60	0.50	500	0.15						Ice still yellowish colour when it break and tilt.
2019-10-23T16:00	-58.43667	0.013611	10	10	60	0.40	500	0.20						Ship now in ice mode (was in sea mode before)
2019-10-23T17:00	-58.44333	0.088333	10	10	60	0.40	500	0.30						
2019-10-23T18:00	-58.70333	0.182778	10	10	60	0.50	500	0.20						
2019-10-23T19:00	-58.84083	0.057778	10	10	60	0.40	700	0.30						Strong winds and snow meaning low visibility. but no end to floes in sight.
2019-10-23T20:00	-59.02333	0.013056	10	10	60	0.40	700	0.10						Brown ice visible
2019-10-23T21:00	-58.99556	-0.082500	6	5	60	0.30	700	0.10	1	90	300			Passed through multiple polynyas and open water bands
2019-10-23T22:00	-59.11389	0.079444	10	10	60	0.80	600	0.15						I cant see further than 100m becuause it is dark.
2019-10-23T23:00	-59.02972	-0.251111	10	10	50	0.50	600	0.20						Ice stopped us so we had to stop. reverse and ram. It is a big floe so we struggle to get through it. Ram again.  It isnt the thickness of the ice but the size of the flow that stopped us.
2019-10-24T00:00	-59.11556	-0.036389	10	10	60	0.70	700	0.30						
2019-10-24T01:00	-59.15722	0.170833	10	10	70	0.75	700	0.40						
2019-10-24T02:00	-59.21111	-0.070000	10	10	60	0.80	700	0.30						
2019-10-24T03:00	-59.34194	0.146389	10	5	60	0.30	600	0.20	5	10				
2019-10-24T04:00	-59.52278	0.171389	10	10	70	0.70	700	0.15						
2019-10-24T05:00	-59.47000	0.040556	10	10	60	0.70	700	0.25						Ship stationary
2019-10-24T06:00	-59.36944	0.128889												
2019-10-24T07:00	-59.51972	0.231944												
2019-10-24T08:00	-59.40750	0.087778												
2019-10-24T09:00	-59.55639	0.207222												
2019-10-24T10:00	-59.44889	0.058889												
2019-10-24T11:00	-59.35139	0.162778												
2019-10-24T12:00	-59.52222	0.263611												
2019-10-24T13:00	-59.41972	0.106111												
2019-10-24T14:00	-59.33972	0.213056												
2019-10-24T15:00	-59.52222	0.331389												
2019-10-24T16:00	-59.44139	0.200000												
2019-10-24T17:00	-59.51028	0.378333												
2019-10-24T18:00	-59.35639	0.131944	10	10	60	0.30	700							Ship started moving.
2019-10-24T19:00	-59.12750	0.258333	9	8	60	0.30	700		1	20	200	1	12	
2019-10-24T20:00	-59.22056	0.228056	9	8	60	0.60	800		1	20	200	1	12	
2019-10-24T21:00	-59.12778	0.090556												
2019-10-24T22:00	-59.04250	0.198611												
2019-10-24T23:00	-58.96972	0.291667												
2019-10-25T00:00	-59.18056	0.119167												
2019-10-25T01:00	-59.14417	0.225556												
2019-10-25T02:00	-59.11139	0.066389												
